brand,name,common_name,variant,attributes,attributes_unpublished,category_hint,weight_mg,weight_source,source_url,kcal
Locus Gear,Hapi,Tent,DCF-B,persons=2,,shelter,350000,manufacturer,https://locusgear.com/en-us/products/hapi-dcf-b,
Locus Gear,Khafra,Tent,DCF-B,,persons,shelter,500000,manufacturer,https://locusgear.com/en-us/products/khafra-dcf-b,
Locus Gear,Khufu,Tent,DCF-B,persons=2,,shelter,335000,manufacturer,https://locusgear.com/en-us/products/khufu-dcf-b,
Marmot,Tungsten 2P,Tent,trail weight,persons=2,,shelter,2258890,manufacturer,https://www.rei.com/product/200288/marmot-tungsten-2p-tent-with-footprint,
Marmot,Tungsten UL 2P,Tent,trail weight,persons=2,,shelter,1340000,manufacturer,https://marmotau.com/products/tungsten-ul-2p-2,
Mountain Laurel Designs,Cricket Pyramid Tarp,Tarp,0.5 DCF,,,shelter,212621,manufacturer,https://mountainlaureldesigns.com/product/cricket-pyramid-tarp/,
Mountain Laurel Designs,Cricket Pyramid Tarp,Tarp,0.8 DCF,,,shelter,255146,manufacturer,https://mountainlaureldesigns.com/product/cricket-pyramid-tarp/,
Mountain Laurel Designs,Cricket Pyramid Tarp,Tarp,20d Pro SilPoly,,,shelter,354369,manufacturer,https://mountainlaureldesigns.com/product/cricket-pyramid-tarp/,
Mountain Laurel Designs,DuoMid,Tent,0.75 DCF,persons=2,,shelter,439418,manufacturer,https://mountainlaureldesigns.com/product/duomid/,
Mountain Laurel Designs,DuoMid,Tent,Silpoly,persons=2,,shelter,510291,manufacturer,https://mountainlaureldesigns.com/product/duomid/,
Mountain Laurel Designs,SoloMid XL,Tent,0.75 DCF,persons=1,,shelter,396893,manufacturer,https://mountainlaureldesigns.com/product/solomid-xl/,
Mountain Laurel Designs,SoloMid XL,Tent,Silpoly,persons=1,,shelter,453592,manufacturer,https://mountainlaureldesigns.com/product/solomid-xl/,
MSR,FreeLite,Tent,2P,persons=2,,shelter,1048933,manufacturer,https://cascadedesigns.com/products/freelite-2-person-ultralight-backpacking-tent,
MSR,Hubba Hubba LT,Tent,2P,persons=2,,shelter,1530874,manufacturer,https://cascadedesigns.com/products/hubba-hubba-lt-2-person-tent,
Naturehike,Cloud Up 2,Tent,"20D, trail weight",persons=2,,shelter,1380000,manufacturer,https://www.naturehike.com/products/cloud-up-2-person-ultralight-backpacking-tent,
Naturehike,Mongar 2,Tent,2P,persons=2,,shelter,2200000,manufacturer,https://www.naturehike.com/products/mongar-2-person-ultralight-backpacking-tent,
Nemo,Dagger OSMO 3P,Tent,,persons=3,,shelter,2012816,manufacturer,https://www.nemoequipment.com/products/dagger-osmo,
Nemo,Dagger OSMO 3P Footprint,Groundsheet,,,,shelter,300505,manufacturer,https://www.rei.com/product/242377/nemo-dagger-osmo-3p-footprint,
Nemo,Dragonfly OSMO,Tent,1P,persons=1,,shelter,1230000,manufacturer,https://www.gearx.com/products/nemo-equipment-dragonfly-osmo-1p-tent-ai7bp-fog,
Nemo,Dragonfly OSMO,Tent,2P,persons=2,,shelter,1502525,manufacturer,https://www.nemoequipment.com/products/dragonfly-osmo,
Nemo,Dragonfly OSMO,Tent,3P,persons=3,,shelter,1720000,manufacturer,https://backpackersshop.com/products/dragonfly-3p-osmo,
Nemo,Hornet Elite OSMO,Tent,1P,persons=1,,shelter,812000,manufacturer,https://www.outdoorline.eu/products/nemo-hornet-elite-osmo-1p,
Nemo,Hornet Elite OSMO,Tent,2P,persons=2,,shelter,935000,manufacturer,https://www.outdoorline.eu/products/nemo-hornet-elite-osmo-2p,
Nemo,Hornet OSMO,Tent,1P,persons=1,,shelter,1020583,manufacturer,https://www.nemoequipment.com/products/hornet-osmo,
Nemo,Hornet OSMO,Tent,2P,persons=2,,shelter,1133981,manufacturer,https://www.nemoequipment.com/products/hornet-osmo,
Outdoor Research,Helium UL Bivy,Bivy,,,,shelter,511000,manufacturer,https://www.outdoorresearch.com/products/helium-ul-bivy-322699,
